,nominee_type,year,winner,award,title
0,tv-show,2024,True,Best Television Series - Drama,Succession
1,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Jennifer Lawrence
2,people,2024,True,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Emma Stone
3,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Margot Robbie
4,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Brian Cox
5,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Alma Pöysti
6,people,2024,True,Best Performance by a Male Actor in a Television Series – Drama,Kieran Culkin
7,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Natalie Portman
8,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Gary Oldman
9,film,2024,False,Best Motion Picture - Animated,Spider-Man: Across the Spider-Verse
10,people,2024,False,Best Original Score - Motion Picture,Mica Levi
11,people,2024,False,Best Original Score - Motion Picture,Daniel Pemberton
12,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Rachel Weisz
13,people,2024,False,Best Original Score - Motion Picture,Robbie Robertson
14,song,2024,False,Best Original Song - Motion Picture,Addicted to Romance
15,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Juno Temple
16,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Emma Stone
17,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Nicolas Cage
18,people,2024,False,Best Original Score - Motion Picture,Joe Hisaishi
19,people,2024,True,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Ali Wong
20,people,2024,True,Best Original Score - Motion Picture,Ludwig Göransson
21,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Matt Bomer
22,people,2024,False,Best Original Score - Motion Picture,Jerskin Fendrix
23,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Sam Claflin
24,film,2024,False,Best Motion Picture - Drama,The Zone of Interest
25,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jon Hamm
26,film,2024,False,Best Motion Picture - Drama,Past Lives
27,film,2024,True,Best Motion Picture - Drama,Oppenheimer
28,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Matt Damon
29,people,2024,True,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Paul Giamatti
30,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Joaquin Phoenix
31,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Jeffrey Wright
32,film,2024,True,Best Motion Picture - Animated,The Boy and the Heron
33,song,2024,False,Best Original Song - Motion Picture,Dance the Night
34,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Elizabeth Olsen
35,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Brie Larson
36,tv-show,2024,True,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Beef
37,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Martin Short
38,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Barry Keoghan
39,tv-show,2024,False,Best Television Series - Musical or Comedy,Ted Lasso
40,people,2024,True,Best Performance by a Male Actor in a Motion Picture – Drama,Cillian Murphy
41,tv-show,2024,False,Best Television Series - Musical or Comedy,Only Murders in the Building
42,tv-show,2024,False,Best Television Series - Musical or Comedy,Jury Duty
43,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Andrew Scott
44,tv-show,2024,True,Best Television Series - Musical or Comedy,The Bear
45,film,2024,False,Best Motion Picture - Musical or Comedy,Air
46,tv-show,2024,False,Best Television Series - Musical or Comedy,Barry
47,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Jason Sudeikis
48,song,2024,False,Best Original Song - Motion Picture,Peaches
49,people,2024,True,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Jeremy Allen White
50,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",All the Light We Cannot See
51,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Daisy Jones and the Six
52,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Riley Keough
53,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Fargo
54,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Fellow Travelers
55,song,2024,False,Best Original Song - Motion Picture,I'm Just Ken
56,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Lessons in Chemistry
57,film,2024,False,Best Motion Picture - Musical or Comedy,American Fiction
58,tv-show,2024,False,Best Television Series - Musical or Comedy,Abbott Elementary
59,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Dominic West
60,film,2024,False,Best Motion Picture - Musical or Comedy,Barbie
61,film,2024,False,Best Motion Picture - Musical or Comedy,The Holdovers
62,film,2024,False,Best Motion Picture - Musical or Comedy,May December
63,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Jeremy Strong
64,film,2024,True,Best Motion Picture - Musical or Comedy,Poor Things
65,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Pedro Pascal
66,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Fantasia Barrino
67,film,2024,False,Best Motion Picture - Animated,Elemental
68,film,2024,False,Best Motion Picture - Animated,The Super Mario Bros. Movie
69,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Jason Segel
70,people,2024,False,Best Performance by a Male Actor in a Supporting Role on Television,James Marsden
71,people,2024,False,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Mark Ruffalo
72,people,2024,False,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Charles Melton
73,people,2024,False,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Ryan Gosling
74,people,2024,False,Best Performance by a Male Actor in a Supporting Role on Television,Billy Crudup
75,people,2024,False,Best Performance by a Female Actor in a Supporting Role on Television,Hannah Waddingham
76,people,2024,True,Best Performance by a Male Actor in a Supporting Role on Television,Matthew Macfadyen
77,people,2024,True,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Robert Downey Jr.
78,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Imelda Staunton
79,people,2024,False,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Robert De Niro
80,people,2024,False,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Willem Dafoe
81,people,2024,True,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Da’Vine Joy Randolph
82,people,2024,False,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Rosamund Pike
83,people,2024,False,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Julianne Moore
84,people,2024,False,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Jodie Foster
85,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Keri Russell
86,people,2024,False,Best Director - Motion Picture,Martin Scorsese
87,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Bella Ramsey
88,people,2024,True,Best Director - Motion Picture,Christopher Nolan
89,people,2024,False,Best Director - Motion Picture,Greta Gerwig
90,people,2024,True,Best Performance by a Female Actor in a Television Series – Drama,Sarah Snook
91,people,2024,False,Best Director - Motion Picture,Yorgos Lanthimos
92,people,2024,False,Best Director - Motion Picture,Bradley Cooper
93,people,2024,False,Best Director - Motion Picture,Celine Song
94,people,2024,False,Best Screenplay - Motion Picture,Greta Gerwig
95,people,2024,False,Best Screenplay - Motion Picture,Tony McNamara
96,people,2024,False,Best Screenplay - Motion Picture,Eric Roth
97,tv-show,2024,False,Best Television Series - Drama,The Morning Show
98,people,2024,True,Best Screenplay - Motion Picture,Justine Triet
99,people,2024,False,Best Screenplay - Motion Picture,Celine Song
100,people,2024,False,Best Screenplay - Motion Picture,Christopher Nolan
101,tv-show,2024,False,Best Television Series - Drama,The Crown
102,people,2024,False,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Danielle Brooks
103,people,2024,False,Best Performance by a Female Actor in a Supporting Role in any Motion Picture,Emily Blunt
104,tv-show,2024,False,Best Television Series - Drama,1923
105,film,2024,False,Best Motion Picture – Non-English Language,Fallen Leaves
106,film,2024,False,Best Motion Picture - Drama,Maestro
107,film,2024,False,Best Motion Picture - Drama,Killers of the Flower Moon
108,film,2024,False,Best Motion Picture - Drama,Anatomy of a Fall
109,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Woody Harrelson
110,tv-show,2024,False,Best Performance in Stand-Up Comedy on Television,Wanda Sykes: I’m an Entertainer
111,tv-show,2024,False,Best Performance in Stand-Up Comedy on Television,Sarah Silverman: Someone You Love
112,tv-show,2024,False,Best Performance in Stand-Up Comedy on Television,Amy Schumer: Emergency Contact
113,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",David Oyelowo
114,people,2024,True,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Steven Yeun
115,tv-show,2024,False,Best Performance in Stand-Up Comedy on Television,Chris Rock: Selective Outrage
116,film,2024,False,Best Motion Picture - Animated,Suzume
117,film,2024,False,Best Motion Picture - Animated,Wish
118,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Helen Mirren
119,film,2024,True,Best Motion Picture – Non-English Language,Anatomy of a Fall
120,tv-show,2024,False,Best Television Series - Drama,The Diplomat
121,people,2024,False,Best Performance by a Female Actor in a Supporting Role on Television,Meryl Streep
122,film,2024,False,Best Motion Picture – Non-English Language,Io Capitano
123,film,2024,False,Best Motion Picture – Non-English Language,Past Lives
124,film,2024,False,Best Motion Picture – Non-English Language,Society of the Snow
125,film,2024,False,Best Motion Picture – Non-English Language,The Zone of Interest
126,film,2024,False,Cinematic and Box Office Achievement,Mission: Impossible - Dead Reckoning Part 1
127,tv-show,2024,False,Best Performance in Stand-Up Comedy on Television,Trevor Noah: Where Was I
128,people,2024,True,Best Performance by a Female Actor in a Supporting Role on Television,Elizabeth Debicki
129,tv-show,2024,True,Best Performance in Stand-Up Comedy on Television,Ricky Gervais: Armageddon
130,people,2024,False,Best Performance by a Female Actor in a Supporting Role on Television,Abby Elliott
131,people,2024,False,Best Performance by a Male Actor in a Supporting Role on Television,Alexander Skarsgård
132,people,2024,False,Best Performance by a Female Actor in a Supporting Role on Television,Christina Ricci
133,people,2024,False,Best Performance by a Male Actor in a Supporting Role on Television,Alan Ruck
134,people,2024,False,Best Performance by a Female Actor in a Supporting Role on Television,J. Smith-Cameron
135,people,2024,False,Best Performance by a Male Actor in a Supporting Role on Television,Ebon Moss–Bachrach
136,song,2024,False,Best Original Song - Motion Picture,Road to Freedom
137,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Timothée Chalamet
138,song,2024,True,Best Original Song - Motion Picture,What Was I Made For?
139,film,2024,True,Cinematic and Box Office Achievement,Barbie
140,film,2024,False,Cinematic and Box Office Achievement,Mission: Impossible - Dead Reckoning Part 1
141,tv-show,2024,False,Best Television Series - Drama,The Last of Us
142,film,2024,False,Cinematic and Box Office Achievement,Taylor Swift: The Eras Tour
143,film,2024,False,Cinematic and Box Office Achievement,John Wick: Chapter 4
144,film,2024,False,Cinematic and Box Office Achievement,The Super Mario Bros. Movie
145,film,2024,False,Cinematic and Box Office Achievement,Guardians of the Galaxy Vol. 3
146,film,2024,False,Cinematic and Box Office Achievement,Spider-Man: Across the Spider-Verse
147,film,2024,False,Cinematic and Box Office Achievement,Oppenheimer
148,film,2024,True,Cinematic and Box Office Achievement,Barbie
149,people,2024,False,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Rachel Brosnahan
150,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Leonardo DiCaprio
151,people,2024,False,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Quinta Brunson
152,people,2024,True,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Ayo Edebiri
153,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Bradley Cooper
154,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Drama,Cailee Spaeny
155,people,2024,False,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Elle Fanning
156,people,2024,False,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Selena Gomez
157,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Drama,Carey Mulligan
158,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Drama,Greta Lee
159,tv-show,2024,True,Best Television Series - Drama,Succession
160,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Steve Martin
161,film,2024,False,Cinematic and Box Office Achievement,Oppenheimer
162,people,2024,False,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Natasha Lyonne
163,film,2024,False,Cinematic and Box Office Achievement,The Super Mario Bros. Movie
164,film,2024,False,Cinematic and Box Office Achievement,John Wick: Chapter 4
165,film,2024,False,Cinematic and Box Office Achievement,Taylor Swift: The Eras Tour
166,tv-show,2024,False,Best Television Series - Drama,The Last of Us
167,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Colman Domingo
168,film,2024,False,Cinematic and Box Office Achievement,Spider-Man: Across the Spider-Verse
169,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Drama,Sandra Hüller
170,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Drama,Annette Bening
171,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Bill Hader
172,people,2024,True,Best Performance by a Female Actor in a Motion Picture – Drama,Lily Gladstone
173,film,2024,False,Cinematic and Box Office Achievement,Guardians of the Galaxy Vol. 3
174,people,2023,True,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Evan Peters
175,people,2023,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Andrew Garfield
176,people,2023,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Colin Firth
177,people,2023,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jessica Chastain
178,people,2023,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Sebastian Stan
179,people,2023,True,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Jennifer Coolidge
180,people,2023,False,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Claire Danes
181,people,2023,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Taron Egerton
182,people,2023,True,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Amanda Seyfried
183,people,2023,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Julia Roberts
184,people,2023,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Lily James
185,people,2023,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Julia Garner
186,tv-show,2023,True,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The White Lotus
187,people,2023,False,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Niecy Nash-Betts
188,people,2023,False,Best Performance by an Actress in a Motion Picture - Drama,Olivia Colman
189,people,2023,False,Best Performance by an Actor in a Motion Picture - Drama,Hugh Jackman
190,people,2023,False,Best Performance by an Actor in a Motion Picture - Drama,Brendan Fraser
191,people,2023,True,Best Performance by an Actor in a Motion Picture - Drama,Austin Butler
192,people,2023,False,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams
193,people,2023,False,Best Performance by an Actress in a Motion Picture - Drama,Ana de Armas
194,people,2023,False,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis
195,people,2023,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Bill Hader
196,tv-show,2023,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Pam & Tommy
197,people,2023,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Martin
198,people,2023,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Martin Short
199,people,2023,True,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeremy Allen White
200,tv-show,2023,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Black Bird
201,tv-show,2023,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Dahmer - Monster: The Jeffrey Dahmer Story
202,tv-show,2023,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The Dropout
203,people,2023,False,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Daisy Edgar-Jones
204,people,2023,False,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",F. Murray Abraham
205,people,2023,False,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Aubrey Plaza
206,film,2023,False,Best Motion Picture - Musical or Comedy,Glass Onion: A Knives Out Mystery
207,film,2023,False,Best Motion Picture - Musical or Comedy,Triangle of Sadness
208,film,2023,False,Best Motion Picture - Drama,Avatar: The Way of Water
209,film,2023,False,Best Motion Picture - Drama,Elvis
210,film,2023,True,Best Motion Picture - Drama,The Fabelmans
211,film,2023,False,Best Motion Picture - Drama,TÁR
212,film,2023,False,Best Motion Picture - Drama,Top Gun: Maverick
213,people,2023,True,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett
214,people,2023,False,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series,Henry Winkler
215,people,2023,True,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series,Tyler Williams
216,people,2023,False,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series,John Turturro
217,people,2023,False,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series,Jonathan Pryce
218,people,2023,False,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series,John Lithgow
219,people,2023,False,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,Sheryl Ralph
220,people,2023,False,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,Janelle James
221,people,2023,True,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,Julia Garner
222,people,2023,False,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,Hannah Einbinder
223,people,2023,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lesley Manville
224,people,2023,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Margot Robbie
225,people,2023,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anya Taylor-Joy
226,people,2023,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson
227,people,2023,True,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Yeoh
228,people,2023,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Diego Calva
229,people,2023,False,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,Elizabeth Debicki
230,people,2023,False,Best Performance by an Actor in a Motion Picture - Drama,Bill Nighy
231,people,2023,False,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Richard Jenkins
232,people,2023,True,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Paul Hauser
233,people,2023,False,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Domhnall Gleeson
234,people,2023,False,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Seth Rogen
235,film,2023,False,Best Motion Picture - Musical or Comedy,Babylon
236,people,2023,False,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Pope
237,people,2023,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Donald Glover
238,people,2023,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Carey Mulligan
239,people,2023,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brendan Gleeson
240,people,2023,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Keoghan
241,people,2023,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt
242,people,2023,True,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ke Huy Quan
243,people,2023,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Redmayne
244,people,2023,False,Best Director - Motion Picture,James Cameron
245,people,2023,False,Best Director - Motion Picture,Daniel Kwan
246,people,2023,False,Best Director - Motion Picture,Baz Luhrmann
247,people,2023,False,Best Director - Motion Picture,Martin McDonagh
248,people,2023,True,Best Director - Motion Picture,Steven Spielberg
249,people,2023,False,Best Screenplay - Motion Picture,Todd Field
250,people,2023,False,Best Screenplay - Motion Picture,Daniel Kwan
251,people,2023,True,Best Screenplay - Motion Picture,Martin McDonagh
252,people,2023,False,Best Screenplay - Motion Picture,Sarah Polley
253,people,2023,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dolly de Leon
254,people,2023,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jamie Lee Curtis
255,people,2023,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kerry Condon
256,film,2023,False,Best Motion Picture - Animated,Marcel the Shell with Shoes On
257,people,2023,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Craig
258,people,2023,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adam Driver
259,people,2023,True,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell
260,people,2023,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ralph Fiennes
261,film,2023,True,Best Motion Picture - Animated,Guillermo del Toro's Pinocchio
262,film,2023,False,Best Motion Picture - Animated,Inu-Oh
263,film,2023,False,Best Motion Picture - Animated,Puss in Boots: The Last Wish
264,people,2023,True,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Bassett
265,film,2023,False,Best Motion Picture - Animated,Turning Red
266,film,2023,False,Best Motion Picture – Non-English Language,All Quiet on the Western Front
267,film,2023,True,Best Motion Picture – Non-English Language,"Argentina, 1985"
268,film,2023,False,Best Motion Picture – Non-English Language,Close
269,film,2023,False,Best Motion Picture – Non-English Language,Decision to Leave
270,film,2023,False,Best Motion Picture – Non-English Language,RRR
271,people,2023,False,Best Screenplay - Motion Picture,Steven Spielberg
272,people,2023,False,Best Original Score - Motion Picture,Carter Burwell
273,people,2023,False,Best Original Score - Motion Picture,Alexandre Desplat
274,tv-show,2023,False,Best Television Series - Musical or Comedy,Hacks
275,people,2023,True,Best Performance by an Actor In A Television Series - Drama,Kevin Costner
276,people,2023,False,Best Performance by an Actor In A Television Series - Drama,Diego Luna
277,people,2023,False,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk
278,people,2023,False,Best Performance by an Actor In A Television Series - Drama,Adam Scott
279,film,2023,True,Best Motion Picture - Musical or Comedy,The Banshees of Inisherin
280,tv-show,2023,False,Best Television Series - Musical or Comedy,The Bear
281,tv-show,2023,False,Best Television Series - Musical or Comedy,Only Murders in the Building
282,people,2023,True,Best Performance by an Actress In A Television Series - Drama,Zendaya
283,tv-show,2023,False,Best Television Series - Musical or Comedy,Wednesday
284,people,2023,True,Best Performance by an Actress in a Television Series - Musical or Comedy,Quinta Brunson
285,people,2023,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Kaley Cuoco
286,people,2023,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Selena Gomez
287,people,2023,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Jenna Ortega
288,people,2023,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Smart
289,people,2023,False,Best Performance by an Actor In A Television Series - Drama,Jeff Bridges
290,people,2023,False,Best Performance by an Actress In A Television Series - Drama,Hilary Swank
291,people,2023,False,Best Original Score - Motion Picture,Hildur Guðnadóttir
292,song,2023,True,Best Original Song - Motion Picture,Naatu Naatu
293,people,2023,True,Best Original Score - Motion Picture,Justin Hurwitz
294,people,2023,False,Best Original Score - Motion Picture,John Williams
295,song,2023,False,Best Original Song - Motion Picture,Carolina
296,song,2023,False,Best Original Song - Motion Picture,Ciao Papa
297,song,2023,False,Best Original Song - Motion Picture,Hold My Hand
298,song,2023,False,Best Original Song - Motion Picture,Lift Me Up
299,tv-show,2023,False,Best Television Series - Drama,Better Call Saul
300,people,2023,False,Best Performance by an Actress In A Television Series - Drama,Imelda Staunton
301,tv-show,2023,False,Best Television Series - Drama,The Crown
302,tv-show,2023,True,Best Television Series - Drama,House of the Dragon
303,tv-show,2023,False,Best Television Series - Drama,Ozark
304,tv-show,2023,False,Best Television Series - Drama,Severance
305,people,2023,False,Best Performance by an Actress In A Television Series - Drama,Emma D'Arcy
306,people,2023,False,Best Performance by an Actress In A Television Series - Drama,Laura Linney
307,tv-show,2023,True,Best Television Series - Musical or Comedy,Abbott Elementary
308,film,2023,False,Best Motion Picture - Musical or Comedy,Everything Everywhere All at Once
309,people,2022,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Billy Crudup
310,people,2022,False,Best Performance by an Actress In A Television Series - Drama,Christine Baranski
311,people,2022,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Elle Fanning
312,tv-show,2022,False,Best Television Series - Musical or Comedy,Ted Lasso
313,tv-show,2022,False,Best Television Series - Musical or Comedy,Reservation Dogs
314,tv-show,2022,False,Best Television Series - Musical or Comedy,Only Murders in the Building
315,tv-show,2022,True,Best Television Series - Musical or Comedy,Hacks
316,tv-show,2022,False,Best Television Series - Musical or Comedy,The Great
317,people,2022,False,Best Performance by an Actor In A Television Series - Drama,Omar Sy
318,people,2022,True,Best Performance by an Actor In A Television Series - Drama,Jeremy Strong
319,people,2022,False,Best Performance by an Actor In A Television Series - Drama,Billy Porter
320,people,2022,False,Best Performance by an Actor In A Television Series - Drama,Lee Jung-jae
321,people,2022,False,Best Performance by an Actor In A Television Series - Drama,Brian Cox
322,people,2022,True,Best Performance by an Actress In A Television Series - Drama,Michaela Jae Rodriguez
323,people,2022,False,Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss
324,people,2022,False,Best Performance by an Actress In A Television Series - Drama,Jennifer Aniston
325,people,2022,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracee Ross
326,people,2022,False,Best Performance by an Actress In A Television Series - Drama,Uzo Aduba
327,tv-show,2022,True,Best Television Series - Drama,Succession
328,tv-show,2022,False,Best Television Series - Drama,Squid Game
329,tv-show,2022,False,Best Television Series - Drama,Pose
330,tv-show,2022,False,Best Television Series - Drama,The Morning Show
331,tv-show,2022,False,Best Television Series - Drama,Lupin
332,song,2022,True,Best Original Song - Motion Picture,No Time To Die
333,song,2022,False,Best Original Song - Motion Picture,Here I Am (Singing My Way Home)
334,song,2022,False,Best Original Song - Motion Picture,Down to Joy
335,song,2022,False,Best Original Song - Motion Picture,Dos Oruguitas
336,song,2022,False,Best Original Song - Motion Picture,Be Alive
337,people,2022,True,Best Original Score - Motion Picture,Hans Zimmer
338,people,2022,False,Best Original Score - Motion Picture,Alberto Iglesias
339,people,2022,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Issa Rae
