,nominee_type,year,winner,award,title
1158,people,2016,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith
1159,people,2016,True,Best Original Score - Motion Picture,Ennio Morricone
1160,people,2016,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Rylance
1161,film,2016,False,Best Motion Picture - Musical or Comedy,The Big Short
1162,film,2016,False,Best Motion Picture - Drama,Spotlight
1163,people,2016,False,Best Original Score - Motion Picture,Alexandre Desplat
1164,people,2016,False,Best Original Score - Motion Picture,Daniel Pemberton
1165,people,2016,False,Best Original Score - Motion Picture,Carter Burwell
1166,film,2016,False,Best Motion Picture - Musical or Comedy,Trainwreck
1167,film,2016,True,Best Motion Picture - Musical or Comedy,The Martian
1168,film,2016,False,Best Motion Picture - Musical or Comedy,Spy
1169,film,2016,False,Best Motion Picture - Musical or Comedy,Joy
1170,film,2016,False,Best Motion Picture – Non-English Language,The Fencer
1171,film,2016,False,Best Motion Picture – Non-English Language,The Club
1172,film,2016,True,Best Motion Picture – Non-English Language,Son of Saul
1173,film,2016,False,Best Motion Picture – Non-English Language,Mustang
1174,film,2016,True,Best Motion Picture - Drama,The Revenant
1175,film,2016,False,Best Motion Picture – Non-English Language,The Brand New Testament
1176,film,2016,False,Best Motion Picture - Drama,Room
1177,film,2016,False,Best Motion Picture - Animated,Anomalisa
1178,people,2016,False,Best Director - Motion Picture,Todd Haynes
1179,people,2016,False,Best Director - Motion Picture,George Miller
1180,people,2016,False,Best Director - Motion Picture,Tom McCarthy
1181,film,2016,False,Best Motion Picture - Drama,Mad Max: Fury Road
1182,people,2016,True,Best Director - Motion Picture,Alejandro González Iñárritu
1183,people,2016,False,Best Director - Motion Picture,Ridley Scott
1184,film,2016,True,Best Motion Picture - Animated,Inside Out
1185,film,2016,False,Best Motion Picture - Animated,Shaun the Sheep Movie
1186,film,2016,False,Best Motion Picture - Animated,The Good Dinosaur
1187,film,2016,False,Best Motion Picture - Animated,The Peanuts Movie
1188,film,2016,False,Best Motion Picture - Drama,Carol
1189,people,2015,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Taylor Schilling
1190,people,2015,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Colin Hanks
1191,people,2015,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Frances McDormand
1192,people,2015,True,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Matt Bomer
1193,people,2015,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Mark Ruffalo
1194,people,2015,False,Best Performance by an Actress In A Television Series - Drama,Robin Wright
1195,people,2015,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alan Cumming
1196,people,2015,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michelle Monaghan
1197,people,2015,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Matthew McConaughey
1198,people,2015,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Woody Harrelson
1199,people,2015,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bill Murray
1200,people,2015,True,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Billy Bob Thornton
